Model,Accuracy,Precision,Recall,F1,ROC AUC,Average Precision,Threshold,Threshold Precision,Threshold Recall,Threshold F1,True Negatives,False Positives,False Negatives,True Positives,Training Time,Prediction Time,CV Precision,CV Recall,CV F1,CV Roc_Auc,CV Average_Precision
Logistic Regression,0.9930279449037597,0.3774859287054409,0.5212435233160622,0.437867247007617,0.9492364377501311,0.29809841570610357,0.9609758480734265,0.3774859287054409,0.5212435233160622,0.43786724700761703,366890,1659,924,1006,5.591929299996991,0.12774879999778932,0.7165912789591586,0.8615811228938526,0.7824257950545349,0.9512458216828785,0.8805111957099733
Decision Tree,0.9975761109266652,0.8253467843631778,0.6782383419689119,0.7445961319681457,0.9807837519148226,0.7771054107261581,0.9924554818857053,0.8253467843631778,0.6782383419689119,0.7445961319681456,368272,277,621,1309,50.00324720000208,0.10356160000083037,0.9480324084311025,0.9909916723472735,0.9690350062905082,0.9983670399705383,0.993976365877597
Random Forest,0.9981321478410382,0.8675771971496437,0.7569948186528498,0.8085224128389596,0.9979079616201652,0.8745501924101808,0.904929737901806,0.8675771971496437,0.7569948186528498,0.8085224128389595,368326,223,469,1461,184.04290000000037,0.8251979000051506,0.9775727203811171,0.9976095378011923,0.9874894634257446,0.9998373850474043,0.9993131789746552
